Munic_Id;year;MunicOP_OP;UF_Id;Munic_Id6;Munic_Nome;lag.pb;MunicOP_OP.Acum;population;MayorElecNumber;MayorParty;MayorName;ptwin;ChangeEffect2002;VictoryPTAfter2002;LeftParty;continuitypartpref;ContinuityMayor;MayorsVulnerability;legprefpower;MayorControlCouncil;CoalitionPref;LeftShare;BudgetPP;Investpp;InvestPer;taxrevenues;TransferDep;balsheetrev;YearDummies1996;YearDummies2000;YearDummies2004;YearDummies2008;YearDummies2012;YearDummies2016
2407104;2000;0;24;240710;MACAÕBA;0;0;48408;15;PMDB;LUIZ GONZAGA SOARES;0;0;0;0;0;0;0,708575235557248;0,307692307692308;0;;0,153846153846154;724,107866081326;109,140298297483;0,150723812583505;0,0123852445201462;0,840275942351676;0,803752456280262;0;1;0;0;0;0
2407104;2004;0;24;240710;MACAÕBA;0;0;60749;12;PDT;FERNANDO CUNHA LIMA BEZERRA;0;1;0;1;0;0;0,939579090291921;0,0769230769230769;0;0,230769230769231;0,307692307692308;799,105825474858;45,5970589237356;0,0560625740436514;0,0387217224194203;0,932165983794098;1,01675667632716;0;0;1;0;0;0
2407104;2008;0;24;240710;MACAÕBA;0;0;65361;15;PMDB;FERNANDO CUNHA LIMA BEZERRA;0;1;0;0;0;1;0,945901286011926;0,4;0;0,5;0,2;1474,81497477578;223,189146428565;0,130958506498736;0,0586128958288159;0,978957221835009;1,01066925422713;0;0;0;1;0;0
2407104;2012;0;24;240710;MACAÕBA;0;0;71670;15;PMDB;MAR√çLIA PEREIRA DIAS;0;1;0;0;1;0;0,84450135897972;0,4;0;0,6;0,1;1707,64566396315;186,945501513823;0,111219057520893;0,0867459658946087;0,936656727715545;1,0042536745336;0;0;0;0;1;0
2407104;2016;0;24;240710;MACAÕBA;0;0;79211;33;PMN;FERNANDO CUNHA LIMA BEZERRA;0;1;0;0;0;0;0,775898520084567;0;0;0,307692307692308;0,0769230769230769;1618,84490360949;74,9934670815096;0,0457800005853339;0,08983182586848;0,804668157254944;0,80252374695145;0;0;0;0;0;1
2408003;1992;0;24;240800;MOSSOR”;0;0;195997;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2408003;1996;0;24;240800;MOSSOR”;0;0;210616,5;;;;;;;;;;;;;;;672,643795852636;63,8237919985951;0,107686842408386;0,107610700477463;0,825357219913916;1,0529802282636;1;0;0;0;0;0
2408003;2000;0;24;240800;MOSSOR”;0;0;217763;25;PFL;ROSALBA CIARLINI ROSADO;0;0;0;0;0;0;0,454961938439563;0,428571428571429;0;;0,333333333333333;954,51187631477;115,514717745098;0,119548777421698;0,0936837648524439;0,825351350020429;1,01766116795758;0;1;0;0;0;0
2408003;2004;0;24;240800;MOSSOR”;0;0;224910;25;PFL;ROSALBA CIARLINI ROSADO;0;1;0;0;1;1;0,741341142428838;0,476190476190476;0;0,619047619047619;0,0476190476190476;1199,67131277961;202,319461676362;0,170189580154365;0,0904659318940488;0,788690348321268;0,992599899571856;0;0;1;0;0;0
2408003;2008;0;24;240800;MOSSOR”;0;0;241645;25;PFL;MARIA DE FATIMA ROSADO NOGUEIRA;0;1;0;0;1;0;0,600269411439624;0,384615384615385;0;0,538461538461539;0,230769230769231;1684,58337397867;255,303253011058;0,134242601375966;0,129825004483679;0,808399295384562;0,967335643310685;0;0;0;1;0;0
